Generation,Score
243,0.7142637442958699
244,0.7142251356886916
245,0.7142236625462874
246,0.7141650756014245
247,0.7139528926979225
248,0.714019650086007
249,0.7138780455014974
250,0.7137981785559089
251,0.7137269860794384
252,0.7137269860794384
253,0.7136479344249687
254,0.7135364905743606
255,0.7135301354819836
256,0.7123854801632341
257,0.7122247988745701
258,0.7122247988745701
259,0.7120544497855982
260,0.7120544497855982
261,0.7119542840317739
262,0.7118705168253073
263,0.7117481396062183
264,0.7116364371253477
265,0.7116554484543269
266,0.7115053139720982
267,0.711497611633026
268,0.7113465620066279
269,0.7113465620066279
270,0.7112472236234613
271,0.7111422070167944
272,0.7110663142016278
273,0.711032092220211
274,0.7108499006188774
275,0.7108499006188774
276,0.7105704465440439
277,0.7090427601978757
278,0.7088454266672088
279,0.7088005524986997
280,0.7087089292279516
281,0.7085714638010863
282,0.7085029142121122
283,0.7084730038838867
284,0.708288536512667
285,0.708288536512667
286,0.7082153477707436
287,0.7080357637184178
288,0.7080355195524731
289,0.7079318711089486
290,0.7079196628117137
291,0.7077650447272333
292,0.7076332194266262
293,0.7076103115742742
294,0.7074586227188447
295,0.7074515504088649
296,0.7074159449862079
297,0.7071562204990174
298,0.707114884066549
299,0.7069169203553031
300,0.7068021172545097
301,0.7068021172545097
302,0.7068021172545097
303,0.7066574397408706
304,0.7066314672921515
305,0.7065798882038503
306,0.7065715965300808
307,0.7064241144797254
308,0.7063060190967002
309,0.706034283876182
310,0.7059459409696234
311,0.7058391550541294
312,0.7057746062814116
313,0.7056306503392373
314,0.7055806304894247
315,0.7054403138518857
316,0.7053166016538994
317,0.7052041415486505
318,0.7052041415486505
319,0.7050844436107759
320,0.7049274008894384
321,0.7047155574353646
322,0.7044851632338053
323,0.7043517803182773
324,0.7041392069987288
325,0.7041392069987288
326,0.7040722418414116
327,0.7040601382389539
328,0.703966055867302
329,0.7037717006669721
330,0.7036274388933146
331,0.7036274388933146
332,0.7034237215719803
333,0.7034193444764458
334,0.7032629241040815
335,0.7032723354838568
336,0.703061798970085
337,0.7029571992760315
338,0.7028353385052137
339,0.7028353385052137
340,0.7028088391056744
341,0.7026127070820192
342,0.7026127070820192
343,0.7024892052933401
344,0.7021841583064404
345,0.7020937807671855
346,0.7021029836164748
347,0.7019964037498128
348,0.7016575235238294
349,0.7016566120654486
350,0.7015566554630203
351,0.7014677578889457
352,0.7014192749552718
353,0.7012942533773896
354,0.7012942533773896
355,0.7013036925418485
356,0.7011167921313775
357,0.7010207054428167
358,0.7008456383438653
359,0.7008456383438653
360,0.7008456383438653
361,0.700776896622878
362,0.70066081161786
363,0.700690696687037
364,0.7005078703814839
365,0.7001412478695521
366,0.7001412478695521
367,0.7001366408406324
368,0.7001366408406324
369,0.6999797593821537
370,0.699786870355539
371,0.699686788714137
372,0.69951651050051
373,0.6994740167206053
374,0.6993364726598293
375,0.6992214787932397
376,0.699068476938062
377,0.6990177996199443
378,0.698856008038538
379,0.6987258594715544
380,0.6986935496503144
381,0.6986416752445943
382,0.6982770035795706
383,0.6982148828542983
384,0.698142529767846
385,0.6980117492935887
386,0.6979254705084884
387,0.6978104926748705
388,0.6975297384808286
389,0.697506670258286
390,0.6975171133268274
391,0.6974151773051191
392,0.6974282716137631
393,0.6973182082015142
394,0.6972606365704919
395,0.697216187884776
396,0.6968733584979416
397,0.6967825259456352
